2;ADORNOS/PRESENTES;34;49090000;
3;PELUCIAS;46;58012300;http://192.241.159.164/icons/pelucia.png
4;MAQUIAGEM;32;42021210;http://192.241.159.164/icons/maquiagem.png
5;"ACESSORIOS DE CABELO";30;62171000;http://192.241.159.164/icons/acessoriodeCabelo.png
6;"ACESSORIOS DE MAQUIAGEM";32;96162000;http://192.241.159.164/icons/acessoriodeMaquiagem.png
7;ANEIS;45;71110000;http://192.241.159.164/icons/aneis.png
8;BRINCOS;36;71171900;http://192.241.159.164/icons/brincos.png
9;CHAPEU;47;65050031;
10;CINTOS;44;42033000;
11;CARTEIRAS;48;42022100;
12;BOLSAS;31;42022220;
13;UNHAS;35;68053090;
14;NECESSAIR;41;42021220;
15;"PRODUTOS PARA CABELO";43;33059000;
16;"CUIDADOS COM A PELE";39;33049910;
17;BIJUTERIAS;38;71179000;
18;OCULOS;49;90041000;
19;"CADASTRO ANTIGO";50;71179000;
20;RELOGIOS;59;91061000;
21;INVERNO;67;61169100;
